FONTE;GRUPO ;PAYER ACCOUNT ID;LINKED ACCOUNT ID;ACCOUNT NAME;CÓDIGO ODIN;ASSINATURA ODIN;CLIENTE;CLIENTE UNIFICADO;POC;DIVISÃO;MULTICLOUD;CATEGORIA;CONTA;NUVEM;Receita;SUBCATEGORIA;TIPO DE COBRANÇA;CLIENTE;CLE;CNPJ;NOME CLIENTE;CÓDIGO ODIN;ASSINATURA ODIN;Payer AccountId;Cliente;CONTRATO PMC
CONSUMO AZURE;CSP;;d91f3fb9-2ed3-40c0-a9a4-a7243ada1f59;ABBrasil Industria e Comercio de Alimentos Ltda;1116483;1267178;AB BRASIL;AB BRASIL;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;AB BRASIL;73799750013;60.934.551/0005-88;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;1116483;1267178;0;AB BRASIL;1116483
CONSUMO AZURE;CSP;;10b2f91e-5387-4767-920b-d3643b3c6306;Allianz Parque;1121756;1260797;ALLIANZ PARQUE;ALLIANZ PARQUE;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;ALLIANZ PARQUE;1309801940002;09.355.015/0001-47;REAL ARENAS EMPREENDIMENTOS IMOBILIARIOS S A;1121756;1260797;0;ALLIANZ PARQUE;1121756
CONSUMO AZURE;CSP;;8ebc9c0c-b09c-4124-8599-d9df5a9d5011;Axia ;1133975;1288542;AXIA;AXIA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;AXIA;2298790340002;37.702.652/0001-88;AXIA SERVICOS DIGITAIS LTDA;1133975;1288542;0;AXIA;1133975
CONSUMO AZURE;CSP;;69400d78-3745-4684-9775-4ba6d8ef280a;SandBox Arquitetura Multicloud;1081926;1273301;BANCO DO BRASIL;BANCO DO BRASIL;NÃO;GOV;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;BANCO DO BRASIL;161456497;00.000.000/0001-91;Banco do Brasil;1081926;1273301;0;BANCO DO BRASIL;1081926
CONSUMO AZURE;CSP;;5b8cd988-9b0b-4be9-9ac0-c566983f5665;Banco Bradesco SA;1117069;1277827;BRADESCO;BRADESCO;NÃO;OUTROS;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Intercompany;Repasse de C/C;BRADESCO;161119057;60.746.948/0001-12;BANCO BRADESCO S A;1117069;1277827;0;BRADESCO;1117069
CONSUMO AZURE;CSP;;530bd05a-97ac-428a-9066-b898e6f7201d;CIA DE CIMENTO ITAMBE;1119684;1288821;CIMENTO ITAMBE;CIMENTO ITAMBE;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;CIMENTO ITAMBE;318130050;76.630.573/0001-60;CIA DE CIMENTO ITAMBE;1119684;1288821;0;CIMENTO ITAMBE;1119684
CONSUMO AZURE;CSP;;457c113e-d7b6-49c4-984c-1e225c0cf736;Segurança_Soluções digitais - Sikur;1133431;1286901;CLARO SIKUR;CLARO SIKUR;NÃO;OUTROS;SIM;002 - Intercompany;CSP;CSP;Intercompany;Intercompany;Odin;CLARO SIKUR;80149932964;40.432.544/0034-05;CLARO SA - Segurança Soluções Digitais - SIKUR;1133431;1286901;0;CLARO SIKUR;1133431
CONSUMO AZURE;CSP;;70ba1d03-5a72-469a-9628-59256581ff0f;Tergo;1134826;1294040;CREDILINK;CREDILINK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;CREDILINK;87751630004;02.581.711/0001-22;CREDILINK INFORMACOES DE CREDITO LTDA;1134826;1294040;0;CREDILINK;1134826
CONSUMO AZURE;CSP;;72b256b0-66c6-4cd3-8b5c-a7bb0e1a9d45;Companhia Siderurgica Nacional;1111666;1251079;CSN;CSN;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;CSN;360280113;33.042.730/0001-04;COMPANHIA SIDERURGICA NACIONAL;1111666;1251079;0;CSN;1111666
CONSUMO AZURE;CSP;;d686b5bf-274e-4979-b8e9-38afc9860bd4;DMCARD PROCESSAMENTO DE DADOS E CENTRAL;1121608;1301062;DMCARD;DMCARD;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;DMCARD;88977020004;05.355.090/0001-57;DMCARD PROCESSAMENTO DE DADOS E CENTRAL DE ATENDIMENTO;1121608;1301062;0;DMCARD;1121608
CONSUMO AZURE;CSP;;0b057354-0fc9-47e5-8674-8449dd7e88b8;INFOGLOBO;1072198;1296494;EDITORA GLOBO;EDITORA GLOBO;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;EDITORA GLOBO;89283330006;04.067.191/0001-60;EDITORA GLOBO S/A;1072198;1296494;0;EDITORA GLOBO;1072198
CONSUMO AZURE;CSP;;ca1914e7-56b1-49e1-a81b-4ac11c257844;labsembratel;1036514;1270529;EMBRATEL;EMBRATEL;NÃO;EBT;SIM;008 - Operações;CSP;CSP;Sem Receita;Operações;Desativar;EMBRATEL; ; ;;1036514;1270529;0;EMBRATEL;1036514
CONSUMO AZURE;CSP;;661a2695-315e-45f4-aa30-f6debc714e11;Teste EBT;1036514;1270529;EMBRATEL;EMBRATEL;NÃO;EBT;SIM;008 - Operações;CSP;CSP;Sem Receita;Operações;Desativar;EMBRATEL; ; ;;1036514;1270529;0;EMBRATEL;1036514
CONSUMO AZURE;CSP;;c6e396c2-545a-4082-973b-d4d1c5d1c33d;Operacoes Multicloud;1036514;1270529;EMBRATEL;EMBRATEL;NÃO;EBT;SIM;008 - Operações;CSP;CSP;Sem Receita;Operações;Cloud;EMBRATEL; ; ;;1036514;1270529;0;EMBRATEL;1036514
CONSUMO AZURE;CSP;;47e491c0-1a93-4b0a-9612-c88dfe2d4014;Embratel;1036514;1270529;EMBRATEL;EMBRATEL;NÃO;EBT;SIM;002 - Intercompany;CSP;CSP;Sem Receita;Desativar;Desativar;EMBRATEL; ; ;;1036514;1270529;0;EMBRATEL;1036514
CONSUMO AZURE;CSP;;118f5f17-e13a-47ed-8fd6-7bce7932646c;GRECA DISTRIBUIDORA DE ASFALTOS LTDA;1037803;1234866;GRECA;GRECA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Inativo;Cliente;Odin;GRECA;86897780021;02.351.006/0001-39;GRECA DISTRIBUIDORA DE ASFALTOS LTDA;1037803;1234866;0;GRECA;1037803
CONSUMO AZURE;CSP;;db3ff9b9-08ce-42cb-9079-2ec14993226f;Grupo Lins Ferrao;1051110;1294574;GRUPO LINS FERRÃO;GRUPO LINS FERRÃO;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;GRUPO LINS FERRÃO;81238510084;87.345.021/0001-27;LINS FERRÃO ARTIGOS DO VESTUARIO LTDA;1051110;1294574;0;GRUPO LINS FERRÃO;1051110
CONSUMO AZURE;CSP;;74f6f3b3-dd92-4397-a2d5-cfca9b7af496;Lins Ferrão Artigos do Vestuário Ltda;1051110;1294574;GRUPO LINS FERRÃO;GRUPO LINS FERRÃO;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;GRUPO LINS FERRÃO;81238510084;87.345.021/0001-27;LINS FERRÃO ARTIGOS DO VESTUARIO LTDA;1051110;1294574;0;GRUPO LINS FERRÃO;1051110
CONSUMO AZURE;CSP;;b718c862-80a5-438e-99e6-a7881834d518;HITSS DO BRASIL SERVIÇOS TECNOLÓGICOS LTDA;1036514;1270529;HITSS;HITSS;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Intercompany;Intercompany;HITSS; ; ;;1036514;1270529;0;HITSS;1036514
CONSUMO AZURE;CSP;;eb03d9ff-bf66-4e52-b671-de03ed927a1e;BANCO INBURSA DE INVESTIMENTOS S.A.;1085570;1271539;INBURSA;INBURSA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;INBURSA;90679740003;04.866.275/0001-63;BANCO INBURSA DE INVESTIMENTOS S.A.;1085570;1271539;0;INBURSA;1085570
CONSUMO AZURE;CSP;;36a1dcf1-dd96-4990-9e88-2c007dd6c4d5;ISCP SOCIEDADE EDUCACIONAL LTDA;1127330;1270607;ISCP - LAUREATE;ISCP - LAUREATE;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Faturado por outra área;ISCP - LAUREATE;74854750011;62.596.408/0001-25;ISCP SOCIEDADE EDUCACIONAL LTDA;1127330;1270607;0;ISCP - LAUREATE;1127330
CONSUMO AZURE;CSP;;7334155f-fb87-440d-b30a-fa2de99c3c48;MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO SA;1049031;1295875;MARTINS;MARTINS;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MARTINS;5168210228;43.214.055/0045-28;MARTINS COM. SERV. DIST. S/A;1049031;1295875;0;MARTINS;1049031
CONSUMO AZURE;CSP;;22ec5b51-39db-4d6f-86bd-c5f32883ceb4;MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A;1132493;1345910;MILLS;MILLS;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MILLS;1148740099;27.093.558/0001-15;MILLS ESTRUTURAS E SERVICOS DE ENGENHARIA S.A.;1132493;1345910;0;MILLS;1132493
CONSUMO AZURE;CSP;;e2168242-4c1e-44e7-9034-2981d16c384a;MINUSA TRATORPECAS LTDA;1002040;1219088;MINUSA;MINUSA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MINUSA;1157720065;84.943.067/0001-50;MINUSA TRATORPECAS LTDA;1002040;1219088;0;MINUSA;1002040
CONSUMO AZURE;CSP;;5c03b31c-acaf-4013-8d0a-bea724afd9eb;Mob2Con Soluções Tecnologicas Ltda;1135092;1296774;MOB2CON;MOB2CON;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MOB2CON;1754050240010;22.311.442/0001-91;MOB2CON SOLUCOES TECNOLOGICAS LTDA;1135092;1296774;0;MOB2CON;1135092
CONSUMO AZURE;CSP;;5ea341ce-fd68-4cca-8189-fd1a5fa8e8db;MULTILINK TECNOLOGIA;1149463;1286713;MULTILINK;MULTILINK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MULTILINK;2365988170003;59.643.794/0001-54;MULTIPAGAMENTOS SERVICOS DIGITAIS;1149463;1286713;0;MULTILINK;1149463
CONSUMO AZURE;CSP;;718cf1fe-9c08-4fed-9259-4b9a4dcdb8ed;NOVA GESTOES SERVICO DE COBRANCA EXTRA-JUDICIAL;1106374;1223938;NOVA GESTÕES;NOVA GESTÕES;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;NOVA GESTÕES;354156270002;06.770.702/0001-30;JOSE CARLOS SKRZYSZOWSKI JUNIOR ADVOGADOS ASSOCIADOS;1106374;1223938;0;NOVA GESTÕES;1106374
CONSUMO AZURE;CSP;;f3eedc7b-7dd7-42b3-a805-865afbe2dab7;Plannera Tecnologia da Informacao LTDA;1133995;1288541;PLANNERA;PLANNERA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;PLANNERA;2305686420002;15.188.852/0001-21;PLANNERA TECNOLOGIA DA INFORMACAO LTDA;1133995;1288541;0;PLANNERA;1133995
CONSUMO AZURE;CSP;;bf158188-9a11-44c2-b7fc-21e85613ba27;Tribunal de Contas da União;1092057;1293297;TCU;TCU;NÃO;GOV;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;TCU;1694640197;00.414.607/0001-18;TRIBUNAL DE CONTAS DA UNIAO - TCU;1092057;1293297;0;TCU;1092057
CONSUMO AZURE;CSP;;eb3106d4-6fa9-4013-bcb0-850bc51349c4;TRESCINCO DISTRIBUIDORA DE AUTOMOVEIS LTDA;1128839;1275875;TRESCINCO;TRESCINCO;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;TRESCINCO;1693320014;03.021.847/0001-40;TRESCINCO DISTRIBUIDORA DE AUTOMOVEIS LTDA;1128839;1275875;0;TRESCINCO;1128839
CONSUMO AZURE;CSP;;b6d72c98-1220-4a65-a784-ef6df2be9a1d;Azure USTORE;1114175;1244781;USTORE;USTORE;NÃO;EBT;SIM;002 - Intercompany;CSP;CSP;Sem Receita;Intercompany;Desativar;USTORE;80149932394;40.432.544/0026-03;CLARO S.A - USTORE;1114175;1244781;0;USTORE;1114175
CONSUMO AZURE;CSP;;18b114ab-a208-4fc8-9f41-67d3143dceaf;Ustore Azure QA;1114175;1244781;USTORE;USTORE;NÃO;EBT;SIM;002 - Intercompany;CSP;CSP;Sem Receita;Intercompany;Repasse de C/C;USTORE;80149932394;40.432.544/0026-03;CLARO S.A - USTORE;1114175;1244781;0;USTORE;1114175
CONSUMO AZURE;CSP;;e6b0a0f9-101d-4e39-8e92-20ad910fb24f;USTORE-DEMO;1114175;1244781;USTORE;USTORE;NÃO;EBT;SIM;002 - Intercompany;CSP;CSP;Sem Receita;Intercompany;Desativar;USTORE;80149932394;40.432.544/0026-03;CLARO S.A - USTORE;1114175;1244781;0;USTORE;1114175
CONSUMO AZURE;CSP;;d1bf54f2-44e1-4300-b912-d549e440fb59;VERIPAG SISTEMAS DE PAGAMENTOS LTDA;1130118;1277570;VERIPAG;LYRA NETWORK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;VERIPAG;2246382030003;29.245.476/0001-74;CITROSUCO S A AGROINDUSTRIA;1130118;1277570;0;VERIPAG;1130118
CONSUMO AZURE;CSP;;24c92f9b-d861-4add-baa2-206765b7b2fe;Velsis Sistemas e Tecnologia Viaria SA;1135607;1293377;VSIS;VELSIS;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;VSIS;2318756810003;29.215.892/0001-20;VSIS INDUSTRIA E COMERCIO S A;1135607;1293377;0;VSIS;1135607
CONSUMO AZURE;CSP;;f9471443-294c-4c1f-a48f-2888ee77ef84;Workfinity Plataformas;1134857;1290897;WORKFINITY;WORKFINITY;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;WORKFINITY;971046630004;04.440.307/0001-64;WORKFINITY PLATAFORMAS TRANSACIONAIS SEGURAS LTDA;1134857;1290897;0;WORKFINITY;1134857
CONSUMO AZURE;CSP;;837673c6-c676-4e08-addb-b3f0de9f2af9;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;1060083;1304415;RODONAVES;RODONAVES;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;RODONAVES;81362670075;44.914.992/0001-38;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;1060083;1304415;0;RODONAVES;1060083
CONSUMO AZURE;CSP;;49c7ae89-d7af-4eed-835d-ff6154b2ecbb;'Unimed de Santa Bárbara D''oeste e Americana Cooperativa de Trabalho Médico';1137677;1300665;UNIMED SANTA BARBARA;UNIMED SANTA BARBARA;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;UNIMED SANTA BARBARA;9980600015;48.628.366/0001-36;UNIMED DE SANTA BARBARA DOESTE AMERICANA COOP TRAB MED;1137677;1300665;0;UNIMED SANTA BARBARA;1137677
CONSUMO AZURE;CSP;;3737ddf7-0b60-4f73-a0ce-2abe5bb94cf4;unimedbh;1135179;1305368;UNIMED BH;UNIMED BH;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;UNIMED BH;8282590030;16.513.178/0001-76;UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO;1135179;1305368;0;UNIMED BH;1135179
CONSUMO AZURE;CSP;;58bb28d9-e6ab-4102-902d-eeed930d70cb;Loxam Brasil;1062176;1306275;LOXAM BRASIL;LOXAM BRASIL;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;LOXAM BRASIL;81609110042;57.764.763/0001-26;LOXAM DO BRASIL AS;1062176;1306275;0;LOXAM BRASIL;1062176
CONSUMO AZURE;CSP;;12b14162-e0ef-430a-97ba-b145fa8deb43;1036514 - CLARO PRODUTOS - azureusaclaro;1050619;1274108;CLARO;CLARO;NÃO;EBT;SIM;002 - Intercompany;CSP;CSP;Intercompany;Cliente;Odin;CLARO;;;;1050619;1274108;0;CLARO;1050619
CONSUMO AZURE;CSP;;1b5aa20b-b5dd-4fd5-87b0-0cc231b3dbce;1036514 - CLARO PRODUTOS - azureusclaro;1050619;1274108;CLARO;CLARO;NÃO;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Cliente;Odin;CLARO;;;;1050619;1274108;0;CLARO;1050619
CONSUMO AZURE;CSP;;d5083eda-f344-44a0-ba74-cf66d4fac89d;1036514 - POC PRODUTOS - azureusaclaro;1050619;1274108;CLARO;CLARO;SIM;EBT;NÃO;002 - Intercompany;CSP;CSP;Intercompany;Cliente;Odin;CLARO;;;;1050619;1274108;0;CLARO;1050619
CONSUMO AZURE;CSP;;6be9faf1-88c6-4fb4-ae40-6584db11893b;Unimed Nacional;1138471;1305960;UNIMED NACIONAL;UNIMED NACIONAL;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;UNIMED NACIONAL;86107900040;02.812.468/0001-06;UNIMED NACIONAL COOPERATIVA CENTRAL;1138471;1305960;0;UNIMED NACIONAL;1138471
CONSUMO AZURE;CSP;;a5e87a24-82a3-4c4e-929c-5f5bf5a78058;PRIMAVERA MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA;1122785;1346015;REZEK;REZEK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;REZEK;2123805520007;07.685.671/0001-82;PRIMAVERA MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA;1122785;1346015;0;REZEK;1122785
CONSUMO AZURE;CSP;;84c57ee7-dcc4-4976-a47b-0187167fb6e8;AGORACRED SA SCFI;1147961;1346409;AGORACRED;AGORACRED;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;AGORACRED;91195770016;36.321.990/0001-07;AGORACRED S A SOCIEDADE DE CREDITO, FINANCIAMENTO E INV;1147961;1346409;0;AGORACRED;1147961
CONSUMO AZURE;CSP;;d0ae54c8-d021-4bc7-8b74-31f7d34c1dcd;ESTRUTURAL PADRÃƒO;1148054;1348983;ESTRUTURAL;ESTRUTURAL;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;ESTRUTURAL;83805270023;94.480.480/0011-50;ESTRUTURAL SERVICOS INDUSTRIAIS LTDA;1148054;1348983;0;ESTRUTURAL;1148054
CONSUMO AZURE;CSP;;cf1596aa-6f2b-47ed-a5e0-b0326fe27b1a;1148054 - ESTRUTURAL SERVICOS INDUSTRIAIS LTDA;1148054;1348983;ESTRUTURAL;ESTRUTURAL;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;ESTRUTURAL;83805270023;94.480.480/0011-50;ESTRUTURAL SERVICOS INDUSTRIAIS LTDA;1148054;1348983;0;ESTRUTURAL;1148054
CONSUMO AZURE;CSP;;fde5099f-f498-4c45-808f-f3ae066f91fb;Fockink Ind;1002077;1345406;FOCKINK;FOCKINK;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;FOCKINK;20718090003;03.021.334/0001-30;FOCKINK INDUSTRIAS ELETRICAS LTDA;1002077;1345406;0;FOCKINK;1002077
CONSUMO AZURE;CSP;;59f83d67-e694-440e-ac86-522f4324322f;MULTILASER INDUSTRIAL S.A.;1138373;1350454;MULTILASER;MULTILASER;NÃO;CORP;SIM;001 - Cliente;CSP;CSP;Com Receita;Cliente;Odin;MULTILASER;86949840009;59.717.553/0001-02;MULTILASER INDUSTRIAL S A;1138373;1350454;0;MULTILASER;1138373
